t,U
0,9.092
1.029,9.0765
2.028,9.0576
3.029,9.0387
4.029,9.0197
5.029,9.002
6.029,8.9802
7.028,8.9615
8.029,8.9414
9.029,8.9222
10.029,8.9024
11.029,8.8847
12.029,8.8646
13.028,8.8452
14.029,8.8254
15.029,8.8061
16.029,8.7867
17.029,8.7677
18.029,8.749
19.028,8.7291
20.029,8.7104
21.029,8.6912
22.029,8.672
23.029,8.6529
24.029,8.6345
25.028,8.6152
26.029,8.5966
27.029,8.5772
28.028,8.5578
29.029,8.5403
30.029,8.5215
31.029,8.5031
32.029,8.4841
33.028,8.466
34.029,8.4467
35.028,8.4285
36.029,8.4108
37.029,8.3916
38.029,8.3735
39.029,8.3543
40.028,8.3367
41.029,8.3177
42.029,8.3002
43.029,8.2822
44.029,8.2638
45.029,8.2462
46.029,8.2275
47.029,8.2103
48.029,8.192
49.029,8.1742
50.029,8.1569
51.029,8.1393
52.029,8.1209
53.029,8.1037
54.029,8.0857
55.029,8.0689
56.029,8.0515
57.029,8.0352
58.029,8.0171
59.029,7.9997
60.029,7.9823
61.029,7.9646
62.029,7.9477
63.029,7.9306
64.029,7.9131
65.029,7.8959
66.029,7.8795
67.029,7.8612
68.029,7.8455
69.029,7.8285
70.029,7.8112
71.029,7.7951
72.029,7.7794
73.029,7.7625
74.029,7.7462
75.029,7.7285
76.029,7.7133
77.029,7.6971
78.029,7.6803
79.029,7.6638
80.029,7.6485
81.029,7.6324
82.029,7.616
83.029,7.5996
84.029,7.583
85.029,7.5669
86.029,7.551
87.03,7.5348
88.029,7.5197
89.028,7.5035
90.029,7.488
91.029,7.4714
92.029,7.4558
93.029,7.4394
94.028,7.4227
95.029,7.4064
96.028,7.39
97.029,7.3747
98.029,7.3576
99.029,7.3423
100.029,7.3256
101.029,7.3106
102.029,7.2941
103.029,7.2783
104.029,7.2622
105.029,7.2473
106.029,7.2305
107.028,7.2149
108.029,7.1991
109.029,7.1839
110.029,7.1684
111.029,7.1526
112.029,7.1365
113.029,7.1218
114.029,7.106
115.029,7.0907
116.029,7.0771
117.029,7.0604
118.029,7.0458
119.029,7.0312
120.029,7.0166
121.029,7.0014
122.029,6.9848
123.029,6.9727
124.029,6.9575
125.029,6.9426
126.029,6.9272
127.029,6.9134
128.029,6.8996
129.028,6.8843
130.029,6.8692
131.028,6.8549
132.029,6.8406
133.029,6.8254
134.029,6.8112
135.029,6.7962
136.028,6.7827
137.029,6.7673
138.029,6.7532
139.028,6.7391
140.028,6.7247
141.028,6.7096
142.028,6.6961
143.028,6.6825
144.028,6.6672
145.028,6.6528
146.028,6.6385
147.028,6.6244
148.028,6.6099
149.028,6.5957
150.028,6.5813
151.029,6.5664
152.029,6.5525
153.029,6.5388
154.029,6.5244
155.029,6.511
156.029,6.4971
157.028,6.4837
158.028,6.4695
159.028,6.4551
160.028,6.4413
161.028,6.4277
162.028,6.414
163.028,6.3999
164.028,6.386
165.028,6.3721
166.029,6.3592
167.028,6.3467
168.028,6.3298
169.028,6.3143
170.028,6.3014
171.028,6.2903
172.029,6.2777
173.028,6.2643
174.028,6.2499
175.029,6.2369
176.028,6.2237
177.028,6.2108
178.029,6.1979
179.028,6.1855
180.028,6.1721
181.029,6.1597
182.028,6.1457
183.028,6.1329
184.029,6.1205
185.028,6.1071
186.028,6.0951
187.029,6.0825
188.028,6.0701
189.028,6.0568
190.028,6.0431
191.029,6.0319
192.028,6.0188
193.028,6.0053
194.028,5.9927
195.028,5.98
196.028,5.9678
197.029,5.9555
198.029,5.943
199.028,5.9306
200.028,5.9174
201.029,5.9047
202.029,5.8918
203.028,5.8799
204.028,5.8683
205.028,5.8567
206.028,5.8436
207.028,5.8318
208.028,5.8189
209.028,5.8079
210.028,5.795
211.028,5.783
212.028,5.7712
213.028,5.7589
214.028,5.7476
215.028,5.7355
216.028,5.724
217.028,5.711
218.028,5.6985
219.028,5.6872
220.028,5.6756
221.028,5.6637
222.028,5.6514
223.028,5.6396
224.028,5.6285
225.028,5.6164
226.028,5.6045
227.028,5.5935
228.028,5.582
229.028,5.5708
230.028,5.559
231.028,5.5473
232.028,5.5354
233.028,5.5241
234.028,5.5128
235.028,5.5012
236.028,5.489
237.029,5.4783
238.028,5.4666
