1nu,1phi,2nu,2phi,sim1phi,sim2phi
6.380,1.603,6.900,0.837,1.603,2.305
6.310,1.776,6.650,0.948,1.776,2.193
6.240,1.898,6.400,1.086,1.898,2.056
6.170,2.062,6.150,1.244,2.062,1.897
6.100,2.185,5.900,1.368,2.185,1.774
6.030,2.273,5.650,1.495,2.273,1.647
5.960,2.374,5.400,1.612,2.374,1.612
5.890,2.428,5.150,1.696,2.428,1.696
5.820,2.479,4.900,1.780,2.479,1.780
5.750,2.522,4.650,1.835,2.522,1.835
6.550,1.152,4.400,1.888,1.989,1.888
6.650,0.928,7.200,0.701,2.214,2.440
6.750,0.768,7.500,0.589,2.374,2.552
6.850,0.628,7.800,0.490,2.513,2.651
6.950,0.533,8.100,0.422,2.609,2.719
7.050,0.456,8.400,0.354,2.685,2.788
7.150,0.400,8.700,0.301,2.742,2.841
7.250,0.346,9.000,0.260,2.795,2.881
7.350,0.309,9.300,0.222,2.832,2.919
7.450,0.271,9.600,0.187,2.870,2.955
7.550,0.256,10.600,0.109,2.885,3.032
,,11.600,0.064,,3.077
,,12.600,0.035,,3.107
