H1/H0,nu
0.9962505802,22
0.9948382591,24
0.9930583142,26
0.9892837393,30
0.9886715262,35
0.9779149712,40
0.9640140303,50
0.929814335,70
0.8676136238,100
0.8232690715,120
0.7564681658,150
0.7137951772,170
0.6733931974,190
0.6356311571,210
0.6006190638,230
0.5684414501,250
0.4986515028,300
0.4419890158,350
0.3958061789,400
0.3255810501,500
0.2755404379,600
0.2387793752,700
0.210179073,800
0.1875769378,900
0.1693314397,1000
0.151373135,1120
0.12867527,1320
0.1089210155,1560
0.09222424567,1840
0.07797843333,2170
0.0658167858,2560
0.05548037417,3020
0.04648170842,3570
0.03894936726,4210
0.03252563307,4970
0.02222890921,6920
0.01828372858,8160
0.01485082932,9630
0.01203794797,11360
0.00975845489,13410
0.007996067776,15820
0.006713615364,18670
0.005960073635,22030
0.005833915857,26000
