тип,nu,x,x_0,psi_pi_4,sqrt_nu
1,600,0.4,2,0.99,24.5
1,700,0.7,4.9,0.93,26.5
1,800,0.5,4.8,0.89,28.3
1,900,0.3,4.6,0.85,30.0
1,1000,0.1,4.5,0.81,31.6
1,1120,0.1,4.2,0.81,33.5
1,1320,0.2,4.2,0.83,36.3
1,1560,0.4,3.9,0.89,39.5
1,1840,0.6,3.5,0.96,42.9
1,2170,0.7,3.2,1.01,46.6
1,2560,0.8,2.9,1.06,50.6
1,3120,0.9,2.5,1.15,55.9
1,3570,1,2.3,1.24,59.7
1,4210,1,1.9,1.34,64.9
1,6920,0.9,1.2,1.63,83.2
2,8160,1,3.2,1.77,90.3
2,9630,1,2.7,1.95,98.1
2,11360,0.9,2.1,2.13,106.6
2,13410,1.8,3.7,2.31,115.8
2,15820,1.8,3.2,2.55,125.8
2,18670,1.7,2.6,2.84,136.6
2,22030,1.2,4.2,3.03,148.4
2,26000,0.7,3.9,3.36,161.2
