v1,v2,sigmav1,sigmav2
2.07,0.1,0.01,0.0
2.17,0.4,0.01,0.0
2.27,0.8,0.01,0.0
2.32,1.1,0.01,0.0
2.35,2.8,0.01,0.0
2.43,4.6,0.01,0.0
2.48,5.8,0.01,0.0
2.51,10.3,0.01,0.1
2.65,12.4,0.01,0.1
3.12,43.5,0.02,0.2
3.35,51.7,0.02,0.3
3.53,54.8,0.02,0.3
3.76,54.3,0.02,0.3
4.02,57.4,0.02,0.3
4.25,59.3,0.02,0.3
4.51,60.5,0.02,0.3
4.79,61.1,0.03,0.3
5.03,61.0,0.03,0.3
5.27,60.4,0.03,0.3
5.55,59.1,0.03,0.3
5.91,57.2,0.03,0.3
6.22,55.2,0.03,0.3
6.53,52.7,0.03,0.3
6.78,50.4,0.04,0.3
7.10,47.1,0.04,0.2
7.53,42.8,0.04,0.2
7.90,39.6,0.04,0.2
8.27,36.4,0.04,0.2
8.56,34.4,0.05,0.2
8.98,31.8,0.05,0.2
9.77,29.1,0.05,0.2
10.44,30.4,0.06,0.2
10.60,30.5,0.06,0.2
10.83,30.6,0.06,0.2
11.08,31.1,0.06,0.2
11.62,32.3,0.06,0.2
