v1,v2,sigmav1,sigmav2
11.5,42.9,0.06,0.2
11.0,41.6,0.06,0.2
10.5,40.6,0.06,0.2
10.3,39.7,0.05,0.2
10.1,39.6,0.05,0.2
9.9,39.7,0.05,0.2
9.6,40.7,0.05,0.2
9.4,41.5,0.05,0.2
9.2,42.1,0.05,0.2
8.9,43.5,0.05,0.2
8.4,47.6,0.04,0.3
7.9,52.4,0.04,0.3
7.2,58.8,0.04,0.3
6.9,62.2,0.04,0.3
6.6,64.9,0.03,0.3
6.0,67.7,0.03,0.4
5.5,68.9,0.03,0.4
5.3,69.1,0.03,0.4
5.1,69.0,0.03,0.4
4.8,68.7,0.03,0.4
4.5,67.3,0.02,0.4
4.1,64.6,0.02,0.3
3.5,56.9,0.02,0.3
3.2,50.0,0.02,0.3
2.9,32.7,0.02,0.2
2.5,7.1,0.01,0.0
2.0,0.0,0.01,0.0
